gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,risk_churn_percent,risk_quartile
Male,0,1,1,24,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Credit card (automatic),20.8,469.65,9.887833490307042,Q1
Male,0,1,1,66,1,Yes,DSL,No,No,Yes,No,Yes,No,Two year,1,Bank transfer (automatic),63.3,4189.7,9.88357681855809,Q1
Male,0,0,0,67,1,No,DSL,No,No,No,Yes,No,No,Two year,0,Bank transfer (automatic),50.55,3260.1,9.881891589437734,Q1
Male,0,1,1,26,1,No,DSL,No,No,Yes,No,No,No,One year,0,Mailed check,50.35,1285.8,9.880901586074923,Q1
Female,0,1,1,54,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),20.35,1092.35,9.878316443425838,Q1
Male,0,1,1,64,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),19.7,1274.05,9.87529471421901,Q1
Female,0,1,1,58,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Credit card (automatic),24.5,1497.9,9.873121483959782,Q1
Female,0,1,0,52,0,No phone service,DSL,Yes,No,Yes,No,No,No,One year,0,Mailed check,35.45,1958.95,9.870290643740432,Q1
Male,1,1,0,69,0,No phone service,DSL,No,No,Yes,No,No,No,One year,1,Credit card (automatic),29.8,2134.3,9.867757184779911,Q1
Female,0,1,1,56,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.05,1090.1,9.867404110558645,Q1
Female,0,1,1,54,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),91.3,4965.0,9.866685842973718,Q1
Male,0,1,0,71,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,1,Electronic check,99.0,6994.6,9.86479280018775,Q1
Female,0,1,1,33,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.8,641.35,9.862854191583297,Q1
Female,0,1,1,32,1,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,0,Mailed check,73.6,2316.85,9.858811676590028,Q1
Male,0,0,1,39,0,No phone service,DSL,Yes,No,No,Yes,Yes,No,One year,0,Bank transfer (automatic),45.05,1790.6,9.858741523682674,Q1
Female,0,1,0,65,1,No,DSL,No,No,No,Yes,Yes,No,Two year,1,Credit card (automatic),59.8,3808.2,9.85819387136042,Q1
Male,0,0,0,13,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.75,265.75,9.857718448631307,Q1
Male,0,1,1,6,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.55,122.9,9.8570659131642,Q1
Female,0,1,1,44,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.6,780.25,9.851553912861474,Q1
Male,0,1,1,59,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.3,1192.7,9.848762599043742,Q1
Male,0,1,1,19,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.6,414.95,9.847822642193451,Q1
Female,0,1,1,52,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),25.05,1270.25,9.843864737998057,Q1
Male,0,1,1,66,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,19.75,1344.5,9.838614387908539,Q1
Female,0,0,0,60,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.6,1093.0,9.829882724894503,Q1
Female,0,1,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,1,Electronic check,110.75,7751.7,9.82795292271048,Q1
Female,0,1,1,12,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.0,233.55,9.82353309049233,Q1
Female,0,1,1,72,1,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),108.3,7679.65,9.821365055747236,Q1
Male,0,0,1,62,1,No,DSL,Yes,Yes,No,No,No,No,One year,0,Bank transfer (automatic),56.15,3487.95,9.821168047662537,Q1
Female,0,1,1,66,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),89.9,5958.85,9.819752540700351,Q1
Female,0,0,0,57,1,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,1,Bank transfer (automatic),87.55,4884.85,9.819493929404029,Q1
Male,0,0,0,64,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.55,1240.15,9.819158081160033,Q1
Female,0,0,0,58,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),24.35,1423.85,9.818809357660903,Q1
Female,0,0,0,8,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.85,161.65,9.8141504319364,Q1
Male,0,1,0,50,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Electronic check,19.8,1013.2,9.812718439477537,Q1
Male,0,1,0,72,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),110.9,8240.85,9.812394854857933,Q1
Male,0,1,1,71,1,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,1,Bank transfer (automatic),104.65,7288.4,9.811199872125304,Q1
Male,0,1,1,52,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,25.75,1345.85,9.810870339525783,Q1
Female,0,1,0,68,1,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),79.6,5515.8,9.81062543038275,Q1
Male,0,1,1,52,1,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,0,Electronic check,79.2,4016.3,9.808669972348577,Q1
Female,0,0,0,12,0,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,Two year,0,Mailed check,49.85,552.1,9.80787718976888,Q1
Male,0,0,0,31,1,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),99.45,3109.9,9.803671318631169,Q1
Female,0,0,0,59,1,Yes,DSL,Yes,No,No,Yes,No,Yes,One year,0,Bank transfer (automatic),68.7,4070.95,9.803445337966334,Q1
Female,0,1,1,34,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),20.1,682.1,9.802416669749608,Q1
Male,0,1,1,54,1,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,1,Bank transfer (automatic),79.95,4362.05,9.801820030108173,Q1
Female,0,1,0,60,1,No,DSL,Yes,Yes,No,Yes,No,No,Two year,0,Bank transfer (automatic),59.85,3483.45,9.801441313026423,Q1
Female,0,0,0,25,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.8,475.2,9.801419388499523,Q1
Female,0,1,1,56,1,No,DSL,Yes,Yes,Yes,No,No,No,Two year,1,Credit card (automatic),61.3,3346.8,9.801131851519818,Q1
Male,0,0,0,51,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),24.6,1266.4,9.79834247642898,Q1
Male,0,1,1,59,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.85,1188.25,9.794924517441137,Q1
Female,0,1,0,52,1,No,DSL,Yes,No,Yes,No,Yes,No,One year,1,Mailed check,64.3,3410.6,9.794322295105417,Q1
Male,1,1,0,61,1,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,1,Bank transfer (automatic),85.55,5251.75,9.793616822942191,Q1
Male,0,1,0,46,0,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,0,Credit card (automatic),40.4,1842.7,9.793121729058637,Q1
Male,0,0,0,67,0,No phone service,DSL,Yes,No,Yes,Yes,Yes,No,One year,1,Bank transfer (automatic),49.35,3321.35,9.79289241401763,Q1
Female,0,0,0,5,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,19.55,99.6,9.791002972619014,Q1
Male,0,0,0,3,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Mailed check,19.45,69.25,9.790211723585642,Q1
Female,0,1,0,63,1,No,Fiber optic,Yes,No,Yes,No,No,No,One year,1,Credit card (automatic),81.15,5224.5,9.788299584401052,Q1
Female,0,0,0,64,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,24.7,1642.75,9.788237906774093,Q1
Male,0,1,1,52,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Credit card (automatic),20.85,1071.6,9.78686989383485,Q1
Male,0,1,1,72,1,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,1,Credit card (automatic),84.5,6130.85,9.786693756704464,Q1
Female,0,1,1,47,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.75,948.9,9.785831700854864,Q1
Female,0,0,1,10,0,No phone service,DSL,Yes,Yes,No,Yes,No,No,One year,0,Mailed check,40.25,411.45,9.785641818623855,Q1
Female,0,1,1,0,1,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,0,Mailed check,80.85,,9.78441435000633,Q1
Male,0,1,1,60,1,No,DSL,Yes,Yes,Yes,No,No,No,Two year,0,Bank transfer (automatic),60.5,3694.45,9.778910034861257,Q1
Male,0,1,0,28,1,No,DSL,Yes,No,No,Yes,No,No,One year,0,Mailed check,54.35,1426.45,9.777031464367324,Q1
Female,0,0,0,10,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,18.85,163.2,9.776622359017022,Q1
Male,0,1,0,69,1,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,1,Mailed check,92.45,6460.55,9.776029119692607,Q1
Female,0,0,0,62,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),19.2,1123.65,9.77434884689451,Q1
Female,0,1,1,39,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.75,757.95,9.773109233764869,Q1
Female,0,0,0,45,1,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),81.65,3618.7,9.77157251951187,Q1
Female,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),116.8,8456.75,9.771181520134647,Q1
Male,1,1,0,70,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),90.05,6333.4,9.768939680104403,Q1
Male,0,1,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,1,Electronic check,99.15,7422.1,9.76850124832982,Q1
Female,0,1,1,29,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,20.0,540.05,9.768176834764692,Q1
Female,0,1,1,30,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),19.55,608.5,9.761608533299338,Q1
Female,0,1,0,60,0,No phone service,DSL,Yes,Yes,No,Yes,No,No,Two year,0,Bank transfer (automatic),37.7,2288.7,9.76004340139365,Q1
Female,0,1,1,9,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.35,191.1,9.756598452257863,Q1
Female,0,0,0,36,1,Yes,DSL,Yes,No,No,No,No,No,One year,0,Mailed check,54.45,1893.5,9.755708629839885,Q1
Male,0,1,1,7,0,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,Two year,0,Credit card (automatic),49.65,305.55,9.753112125427426,Q1
Female,0,1,1,72,1,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,1,Bank transfer (automatic),76.8,5468.45,9.752466340277673,Q1
Male,0,1,1,63,1,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Two year,0,Mailed check,75.7,4676.7,9.752367522286356,Q1
Male,0,1,1,69,1,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),86.9,6194.1,9.748958428746064,Q1
Female,0,0,0,49,1,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,0,Bank transfer (automatic),67.4,3306.85,9.747816688352133,Q1
Female,0,1,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,1,Electronic check,109.55,8165.1,9.74757375352918,Q1
Female,0,0,0,52,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.65,1022.95,9.744017417767333,Q1
Female,0,1,1,61,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.75,1311.6,9.743997354481,Q1
Female,0,1,0,71,0,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,0,Bank transfer (automatic),66.8,4689.15,9.743537221070246,Q1
Female,0,0,0,68,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,88.15,6148.45,9.742914033575554,Q1
Male,0,1,1,55,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.5,1177.95,9.739788143496183,Q1
Female,0,1,1,31,1,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),80.55,2471.6,9.738462784173525,Q1
Female,0,0,0,50,1,No,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,1,Bank transfer (automatic),89.7,4304.5,9.73824959844784,Q1
Female,0,1,0,45,1,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,1,Credit card (automatic),95.2,4285.8,9.736455126517237,Q1
Female,0,0,0,70,1,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),79.6,5589.45,9.733079932331105,Q1
Male,0,0,0,66,1,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,0,Bank transfer (automatic),68.75,4447.55,9.73246203002497,Q1
Female,0,1,0,64,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.45,1208.6,9.731244686240286,Q1
Male,0,1,1,45,1,No,DSL,Yes,No,No,Yes,No,No,Two year,0,Bank transfer (automatic),54.65,2553.7,9.731193385581864,Q1
Female,0,1,1,25,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,18.7,383.65,9.729220009522162,Q1
Female,0,1,0,64,1,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),105.4,6794.75,9.729142154749146,Q1
Male,0,0,0,20,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,19.7,419.4,9.725848129159756,Q1
